,brand,model,price,province,matriculation,fuel,kilometres,gear,enviromental_label
0,AUDI,A5 Coupé 3.0TDI quattro S-Tronic,15450,Granada,2010,Diésel,303000,Automático,B
1,BMW,X3 xDrive 20iA,57500,Almería,2021,Gasolina,10,Automático,C
2,OPEL,Mokka X 1.4T Innovation 4x2 Aut.,13499,Castellón,2019,Gasolina,98456,Automático,C
3,BMW,Serie 3 318dA Essential Edition,13990,Cantabria,2014,Diésel,192000,Automático,B
4,PEUGEOT,308 SW 1.6 BlueHDi MBC Active 120,10200,Cádiz,2016,Diésel,134000,Manual,C
5,TOYOTA,C-HR 125H Advance,21990,Cádiz,2017,Híbrido,58171,Automático,ECO
6,SEAT,León 1.0 TSI S&S Style Launch Pack con Navegador 110,19400,Barcelona,2021,Gasolina,12281,Manual,C
7,LAND-ROVER,Range Rover Evoque 2.0TD4 SE Dynamic 4WD Aut. 180,27690,Toledo,2016,Diésel,78954,Automático,C
8,PEUGEOT,508 SW 1.5 BlueHDi S&S Allure 130,24490,Madrid,2019,Diésel,27492,Manual,C
9,BMW,Z3 1.9 Roadster **Solo 40.600Kms**Identico a nuevo**,18990,Madrid,2000,Gasolina,40600,Manual,A
10,FORD,Mustang NUEVO  FASTBACK GT 5.0 Ti-VCT V8 336KW (450CV) 6v. Euro 6.2,51600,Valencia,2021,Gasolina,1500,Manual,C
11,MERCEDES-BENZ,Clase B B-CLASS 180 D SPORT,30800,Murcia,2020,Diésel,25348,Automático,C
12,VOLKSWAGEN,Golf Berlina  Automático de 5 Puertas,12780,Barcelona,2013,Gasolina,80000,Automático,C
13,BMW,Serie 3 Touring 320d Efficient Dynamics Touring Sport,19999,Cáceres,2017,Diésel,87000,Manual,C
14,OPEL,Zafira Pequeño  Manual de 5 Puertas,2300,Valencia,2006,Diésel,268000,Manual,B
15,AUDI,Q3 2.0 TDI 177 CV quattro S tronic Ambition,17500,Murcia,2012,Diésel,140000,Automático,B
16,OPEL,Mokka X 1.4T Innovation 4x2 Aut.,13499,Castellón,2019,Gasolina,98456,Automático,C
17,LAND-ROVER,Range Rover Evoque 2.0TD4 SE Dynamic 4WD Aut. 180,27690,Toledo,2016,Diésel,78954,Automático,C
18,PEUGEOT,508 SW 1.5 BlueHDi S&S Allure 130,24490,Madrid,2019,Diésel,27492,Manual,C
19,BMW,Z3 1.9 Roadster **Solo 40.600Kms**Identico a nuevo**,18990,Madrid,2000,Gasolina,40600,Manual,A
20,CITROEN,C1 1.0 VTi City Edition 72,12250,Madrid,2021,Gasolina,1,Manual,C
21,SEAT,León 1.0 TSI S&S Style Launch Pack con Navegador 110,19400,Barcelona,2021,Gasolina,12281,Manual,C
22,FORD,Mustang NUEVO  FASTBACK GT 5.0 Ti-VCT V8 336KW (450CV) 6v. Euro 6.2,51600,Valencia,2021,Gasolina,1500,Manual,C
23,AUDI,A5 Coupé 3.0TDI quattro S-Tronic,15450,Granada,2010,Diésel,303000,Automático,B
24,VOLKSWAGEN,Polo 1.2 TSI Advance DSG 90,11750,Asturias,2014,Gasolina,18350,Automático,C
25,FORD,Fiesta 1.1 PFI LPG 55KW TREND 75 5P,13999,Asturias,2020,Gasolina,41,Manual,C
26,FORD,Focus 1.0 Ecoboost ST Line Aut. 125,17500,Barcelona,2019,Gasolina,51300,Automático,C
27,PEUGEOT,508 1.5BlueHDi S&S Business Line EAT8 130,28700,Castellón,2021,Diésel,11804,Automático,C
28,AUDI,A3 Sportback 1.6TDI Ambiente 105,10749,Palencia,2013,Diésel,149000,Manual,B
29,VOLKSWAGEN,Passat 2.0TDI Advance BMT,14999,Murcia,2011,Diésel,99000,Manual,B
30,VOLKSWAGEN,Golf 2.0 TSI GTI Performance DSG7 180kW,28990,Córdoba,2018,Gasolina,75000,Automático,C
31,MERCEDES-BENZ,Clase A 180 7G-DCT,31000,Burgos,2021,Gasolina,12900,Automático,C
32,JAGUAR,E-Pace 2.0D I4 R-Dynamic Base AWD Aut. 150,27900,Alicante,2018,Diésel,90000,Automático,C
33,RENAULT,Captur 1.5dCi eco2 Energy Life 90,14000,Murcia,2016,Diésel,125000,Manual,C
34,CITROEN,C5 Aircross Hybrid Shine EAT8,35900,Salamanca,2021,Híbrido Enchufable,9580,Automático,A
35,PEUGEOT,3008 SUV 1.2 S&S PureTech Active 130,22800,Vizcaya,2020,Gasolina,19000,Manual,C
36,PORSCHE,Cayenne Turbo Aut.,24999,Alicante,2008,Gasolina,150000,Automático,C
37,SEAT,Ibiza 1.2 12V Reference,4990,Valencia,2005,Gasolina,47582,Manual,B
38,KIA,Rio 1.0 MHEV iMT Concept 100CV (Pack Style) Eco-Dynamics,13490,Valencia,2021,Híbrido,15738,Manual,ECO
39,SKODA,Kamiq 1.0 TSI Ambition 81kW,19990,Barcelona,2021,Gasolina,1,Manual,C
40,AUDI,A3 Sedan S line 35 TDI 110kW S tronic,28000,Barcelona,2020,Diésel,23733,Manual,C
41,FORD,EcoSport 1.0 EcoBoost 125cv Trend,12200,Vizcaya,2016,Gasolina,44400,Manual,C
42,RENAULT,Captur 1.5dCi Energy eco2 Zen 66kW,13900,Islas Baleares,2018,Diésel,63444,Manual,C
43,BMW,X1 sDrive 18dA,41900,Islas Baleares,2021,Diésel,1709,Automático,C
44,SKODA,Scala 1.5 TSI Ambition DSG 110kW,18990,Madrid,2020,Gasolina,26714,Automático,C
45,JEEP,Wrangler Unlimited 2.8CRD Rubicon Aut.,74899,Valencia,2017,Diésel,29600,Automático,C
46,AUDI,A3 Sedán 2.0TDI S Line Edition S-T 7 110kW,25900,Lugo,2018,Diésel,126937,Automático,C
47,SKODA,Octavia Combi 2.0TDI RS DSG,17900,Lugo,2013,Diésel,140874,Automático,B
48,TOYOTA,Yaris 1.5 VVT-I HYBRID ACTIVE TECH 5P,17500,Valencia,2021,Gasolina,14837,Automático,C
49,MERCEDES-BENZ,Clase A 180CDI BE AMG Line,18500,Salamanca,2014,Diésel,92000,Manual,B
50,MERCEDES-BENZ,Clase CLS SEDAN 2.0  300 D 245 4P,68000,Granada,2021,Diésel,8000,Automático,C
51,NISSAN,Juke 1.5dCi Acenta 4x2,12000,Murcia,2015,Diésel,118000,Manual,C
52,MERCEDES-BENZ,Clase E Familiar  Automático de 5 Puertas,17000,Sevilla,2015,Diésel,165239,Automático,C
53,VOLKSWAGEN,Golf 2.0TDI CR BMT GTD 184,18990,Valladolid,2016,Diésel,128000,Manual,C
54,BMW,Serie 5 520iA,40900,Valencia,2020,Gasolina,25485,Automático,C
55,SKODA,Superb Combi 2.0TDI AdBlue Ambition DSG 110kW,22900,Vizcaya,2019,Diésel,70000,Automático,C
56,BMW,Serie 1 118d Business 110 kW (150 CV),32900,Asturias,2021,Diésel,28399,Automático,C
57,RENAULT,Mégane 1.5dCi Blue Zen EDC 85kW,17290,Madrid,2019,Diésel,90350,Automático,C
58,BMW,Serie 3 320d,29990,Cantabria,2019,Diésel,29000,Manual,C
59,DODGE,Nitro 2.8CRD 4WD SE,8400,Valencia,2007,Diésel,198500,Manual,B
60,SUZUKI,Vitara 1.6 GLX Aut.,20500,Valencia,2018,Gasolina,50000,Automático,C
61,VOLVO,XC60 B4 Inscription AWD Aut.,44900,Murcia,2019,Diésel,58000,Automático,C
62,SEAT,León 1.6TDI CR S&S Reference 115,19490,Cáceres,2019,Diésel,60361,Manual,C
63,PEUGEOT,208 Allure Pack Eléctrico 100kW,29278,Madrid,2022,Eléctrico,2,Automático,0
64,SEAT,Ibiza 1.2 12V Reference,4990,Valencia,2005,Gasolina,47582,Manual,B
65,BMW,Serie 5 520iA,40900,Valencia,2020,Gasolina,25485,Automático,C
66,MERCEDES-BENZ,Clase A 180 7G-DCT,31000,Burgos,2021,Gasolina,12900,Automático,C
67,JAGUAR,E-Pace 2.0D I4 R-Dynamic Base AWD Aut. 150,27900,Alicante,2018,Diésel,90000,Automático,C
68,RENAULT,Captur 1.5dCi eco2 Energy Life 90,14000,Murcia,2016,Diésel,125000,Manual,C
69,MERCEDES-BENZ,Clase A 180CDI BE AMG Line,18500,Salamanca,2014,Diésel,92000,Manual,B
70,MERCEDES-BENZ,Clase CLS SEDAN 2.0  300 D 245 4P,68000,Granada,2021,Diésel,8000,Automático,C
71,NISSAN,Juke 1.5dCi Acenta 4x2,12000,Murcia,2015,Diésel,118000,Manual,C
72,JEEP,Wrangler Unlimited 2.8CRD Rubicon Aut.,74899,Valencia,2017,Diésel,29600,Automático,C
73,AUDI,A3 Sedán 2.0TDI S Line Edition S-T 7 110kW,25900,Lugo,2018,Diésel,126937,Automático,C
74,SKODA,Octavia Combi 2.0TDI RS DSG,17900,Lugo,2013,Diésel,140874,Automático,B
75,TOYOTA,Yaris 1.5 VVT-I HYBRID ACTIVE TECH 5P,17500,Valencia,2021,Gasolina,14837,Automático,C
76,KIA,Rio 1.0 MHEV iMT Concept 100CV (Pack Style) Eco-Dynamics,13490,Valencia,2021,Híbrido,15738,Manual,ECO
77,SKODA,Kamiq 1.0 TSI Ambition 81kW,19990,Barcelona,2021,Gasolina,1,Manual,C
78,MERCEDES-BENZ,Clase E Familiar  Automático de 5 Puertas,17000,Sevilla,2015,Diésel,165239,Automático,C
79,VOLKSWAGEN,Golf 2.0TDI CR BMT GTD 184,18990,Valladolid,2016,Diésel,128000,Manual,C
80,VOLVO,XC40 D3 Momentum,32850,Málaga,2018,Diésel,38339,Manual,C
81,BMW,Serie 1 118d M Sport Edition,16950,Toledo,2013,Diésel,149000,Manual,B
82,MERCEDES-BENZ,Clase A 200 7G-DCT,33900,Zaragoza,2020,Gasolina,18900,Automático,C
83,VOLKSWAGEN,Golf 1.4 Conceptline,4550,Valencia,2005,Gasolina,238000,Manual,B
84,MERCEDES-BENZ,Clase CLA Shooting Brake 250e 8G-DCT,45900,Navarra,2021,Híbrido Enchufable,15000,Automático,A
85,MERCEDES-BENZ,Clase GLA 220d Style 4Matic 7G-DCT,23900,Madrid,2016,Diésel,147000,Automático,C
86,SMART,Forfour EQ Passion,15490,Madrid,2020,Eléctrico,27000,Automático,0
87,LAND-ROVER,Range Rover Sport 2.0 Si4 PHEV HSE 404,78900,Valencia,2018,Híbrido Enchufable,79000,Automático,A
88,NISSAN,Leaf 40 kWh N-Connecta,27200,Vizcaya,2021,Eléctrico,8,Automático,0
89,AUDI,A5 Coupé 40 TDI Advanced quattro S tronic,41880,Madrid,2020,Diésel,39800,Automático,C
90,HYUNDAI,Kona 1.0 TGDI Klass 4x2,13990,Islas Baleares,2018,Gasolina,50306,Manual,C
91,MINI,Mini Cooper D,13845,Valencia,2016,Diésel,129257,Manual,C
92,AUDI,A3 Sportback 35 TFSI 150cv S tronic Black line,29431,Madrid,2020,Gasolina,42508,Automático,C
93,SEAT,Mii 1.0 Ecofuel GNC S&S Style Edition Plus 68,10490,Valencia,2019,Gas,32535,Manual,ECO
94,TOYOTA,C-HR 125H Dynamic Plus,21990,Palencia,2017,Híbrido,54230,Automático,ECO
95,SKODA,Scala 1.5 TSI Ambition DSG 110kW,19290,Madrid,2020,Gasolina,24960,Automático,C
96,MERCEDES-BENZ,Clase A 180CDI BE Style,12900,Valencia,2014,Diésel,210000,Manual,B
97,MERCEDES-BENZ,Clase CLS 350d 4Matic Aut.,52900,Murcia,2018,Diésel,99000,Automático,C
98,OPEL,Insignia ST 1.6CDTI S&S Business ecoTEC 136,12600,Barcelona,2017,Diésel,154903,Manual,C
99,PEUGEOT,308 SW 1.6e-HDi Style 115,10260,Vizcaya,2015,Diésel,99000,Manual,C
100,BMW,Serie 1 128tiA,42900,Barcelona,2021,Gasolina,4080,Automático,C
101,BMW,Serie 4 420dA Coupé,57900,Barcelona,2021,Diésel,4132,Automático,C
102,MINI,Mini Cabrio One,17800,Alicante,2017,Gasolina,46500,Manual,C
103,AUDI,A5 Sportback 2.0TDI quattro S tronic 140kW,28900,Salamanca,2017,Diésel,140000,Automático,C
104,NISSAN,Qashqai 1.3 DIG-T N-Connecta 4x2 103kW,21200,Valencia,2019,Gasolina,28000,Manual,C
105,PEUGEOT,2008 1.5BlueHDi S&S GT Line EAT8 130,23900,Valencia,2020,Diésel,47000,Automático,C
106,LAND-ROVER,Range Rover Evoque 2.2L TD4 Pure Tech 4x4 Aut.,19900,Valencia,2014,Diésel,186000,Automático,B
107,NISSAN,Qashqai 1.3 DIG-T N-Connecta 4x2 103kW,24900,Girona,2021,Gasolina,14500,Manual,C
108,BMW,Serie 4 420d Cabrio,23900,Zaragoza,2016,Diésel,184000,Manual,C
109,MERCEDES-BENZ,Clase A Mercedes-AMG 35 4MATIC+,55000,Barcelona,2019,Gasolina,35963,Automático,C
110,VOLKSWAGEN,T-Roc ADVANCE STYLE 1.0 TSI 81 KW (110 CV) 6 VEL.,22400,Murcia,2021,Gasolina,16991,Manual,C
111,KIA,Cee´d Pro_Cee´d 1.6CRDi Drive,9000,Murcia,2014,Diésel,148000,Manual,B
112,AUDI,A5 Sportback 2.0TDI quattro S tronic 140kW,28900,Salamanca,2017,Diésel,140000,Automático,C
113,NISSAN,Qashqai 1.3 DIG-T N-Connecta 4x2 103kW,21200,Valencia,2019,Gasolina,28000,Manual,C
114,PEUGEOT,308 SW 1.6e-HDi Style 115,10260,Vizcaya,2015,Diésel,99000,Manual,C
115,BMW,Serie 1 128tiA,42900,Barcelona,2021,Gasolina,4080,Automático,C
116,BMW,Serie 4 420dA Coupé,57900,Barcelona,2021,Diésel,4132,Automático,C
117,MINI,Mini Cabrio One,17800,Alicante,2017,Gasolina,46500,Manual,C
118,PEUGEOT,2008 1.5BlueHDi S&S GT Line EAT8 130,23900,Valencia,2020,Diésel,47000,Automático,C
119,LAND-ROVER,Range Rover Evoque 2.2L TD4 Pure Tech 4x4 Aut.,19900,Valencia,2014,Diésel,186000,Automático,B
120,NISSAN,Qashqai 1.3 DIG-T N-Connecta 4x2 103kW,24900,Girona,2021,Gasolina,14500,Manual,C
